1111	EXTRACCION Y PREPARACION DE HULLA
1112	EXTRACC. Y PREP. HULLA SUBBITUMINOSA
1113	PREPARAC. HULLA FACTORIA INDEPENDIENTE
1114	AGLOMERACION DE HULLA
1121	EXTRACC. Y PREPARACION DE ANTRACITA
1122	PREPARACION ANTRACITA FACTORIA INDEPEND.
1131	EXTRACC. Y PREP. LIGNITO PARDO
1132	PREP. LIGNITO PARDO EN FACTORIA INDEPEN.
114	FABRICACION DE COQUE
1211	TRABAJOS DE TESTIFICACION EN SONDEOS
1212	DESVIACION SONDEOS Y CIMENTACION POZOS
1213	TOMAS MEDIDA PRESION FONDO DE POZOS
1219	OTRAS ACTIV. DE PROSPECCION
1221	EXTRACCION DE CRUDOS DE PETROLEO
1222	DISTRIBUCION DE CRUDOS DE PETROLEO
1231	EXTRACCION Y DEPURACION DE GAS NATURAL
1232	DISTRIBUCION DE GAS NATURAL
124	EXTRACCION DE PIZARRAS BITUMINOSAS
130	REFINO DE PETROLEO
141	EXTRAC.Y PREP. DE MINERALES RADIACTIVOS
142	PREP.MINERALES RADIACTIVOS FACT.INDEPEN.
1431	TRANSFORMACION DE MINERALES RADIOACTIVOS
1432	TRATAMIENTO DE RESIDUOS RADIOACTIVOS
1433	ALMACENAMIENTO DE RESIDUOS RADIOACTIVOS
1511	PRODUCCION DE ENERGIA HIDROELECTRICA
1512	PRODUCCION ENERGIA TERMOELECTRICA
1513	PRODUCCION ENERGIA ELECTRONUCLEAR
1514	OTRAS PRODUCCIONES DE ENERGIA
1515	TTE. Y DISTRIBUCION DE ELECTRICIDAD
152	FABRICACION Y DISTRIBUCION DE GAS
153	PRODUCC. Y DISTRIB.VAPOR Y AGUA CALIENTE
1611	CAPTACION,TRATAMIENTO Y DISTRIB. DE AGUA
1612	CAPTACION DE AGUA PARA SU SUMINISTRO
1613	TRATAMIENTO DEL AGUA PARA SU SUMINISTRO
1614	DISTRIBUCION DE AGUA EN NUCLEOS URBANOS
162	FABRICACION DE HIELO PARA LA VENTA
2111	EXTRACC. Y PREP. MINERALES FERREOS
2112	PREP.MINERALES FERREOS EN FACT. INDEPEN.
2121	EXTRAC.Y PREP. MINERALES METALICOS
2122	PREP.MINERALES METALICOS EN FACT.INDEP.
221	SIDERURGIA INTEGRAL
222	SIDERURGIA NO INTEGRAL
223	FABRICACION DE TUBOS DE ACERO
224	TREFILADO,ESTIRADO Y LAMINADO DE ACERO
2251	PROD. Y PRIM. TRANSFORMACION ALUMINIO
2252	PROD. Y PRIM. TRANSFORMACION DE COBRE
2259	PROD. Y PRIM. TRANSF. OTROS METALES
2311	EXTRACCION SUSTANCIAS ARCILLOSAS
2312	EXTRACC. ROCAS Y PIZARRAS CONSTRUCCION
2313	EXTRACC. ARENAS Y GRAVAS CONSTRUCCION
2314	EXTRACCION DE YESO
2319	EXTRACCION OTROS MATERIALES CONSTRUCCION
2321	EXTRACCION SALES POTASICAS
2322	EXTRACCION FOSFATOS Y NITRATOS
2331	EXTRACCION DE SAL MARINA
2332	EXTRACC. SAL MANANTIAL Y GEMA
234	EXTRACCION DE PIRITAS Y AZUFRE
2391	EXTRACCION DE FLUORITA
2392	EXTRACCION DE TURBA
2399	EXTRACC. DE OTROS MINERALES NCOP
241	FAB.PTOS.TIERRAS COCIDAS CONSTRUCCION
2421	FAB. CEMENTOS ARTIFICIALES
2422	FAB. CEMENTOS NATURALES
2423	FAB. CALES Y YESOS
2431	FAB. HORMIGONES PREPARADOS
2432	FAB. PTOS. EN FIBROCEMENTO
2433	FAB. OTROS ARTICULOS DERIVADOS CEMENTO
2434	FAB. PAVIMENTOS DERIVADOS DEL CEMENTO
2435	FAB. ARTICULOS DERIVADOS YESO Y ESCAYOLA
244	INDUSTRIAS DE LA PIEDRA NATURAL
245	FAB. DE ABRASIVOS
2461	FAB. VIDRIO PLANO
2462	FAB. VIDRIO HUECO
2463	FAB. VIDRIO TECNICO
2464	FAB. FIBRA DE VIDRIO
2465	MANIPULADO DE VIDRIO
2466	FABRICAC. DE FIBRAS Y ESMALTES CERAMICOS
2471	FAB. ARTICULOS REFRACTARIOS
2472	FAB. BALDOSAS PARA PAVIMENTOS
2473	FAB. BALDOSAS ESMALTADAS PARA PAVIMENTOS
2474	FAB. VAJILLAS Y ARTICULOS PARA EL HOGAR
2475	FAB. APARATOS SANITARIOS LOZA Y PORCEL.
2476	FAB. AISLADORES EN MATERIAL CERAMICO
2479	FAB. OTROS PTOS. CERAMICOS NCOP
249	IND. OTROS PTOS. MINERALES NO MET.
2511	FAB.PTO.QUIMICOS ORGANICOS PETROQUIMICOS
2512	FAB. OTROS PTOS. QUIMICOS ORGANICOS
2513	FAB. PTOS. QUIMICOS INORGANICOS
2514	FAB. PRIMERA MATERIAS PLASTICAS
2515	FAB. CAUCHO Y LATEX SINTETICOS
2516	FAB. FIBRAS ARTIFICIALES Y SINTETICAS
2517	FAB. ACIDO ANHIDRICO FTALICO Y MALEICO
2521	FAB. DE ABONOS
2522	FAB. DE PLAGUICIDAS
2531	FAB. GASES COMPRIMIDOS
2532	FAB. COLORANTES Y PIGMENTOS
2533	FAB. PINTURAS, BARNICES Y LACAS
2534	FAB. DE TINTAS DE IMPRENTA
2535	TRATAMIENTO ACEITES PARA USO INDUSTRIAL
2536	FAB. ACEITES ESENCIALES Y SUST. AROMAT.
2537	FAB. COLAS Y GELATINAS
2538	FAB. EXPLOSIVOS
2539	FAB. OTROS PTOS. QUIMICOS USO INDUSTRIAL
2541	FAB. PTOS. FARMACEUTICOS DE BASE
2542	FAB. ESPECIALIDADES FARMACEUTICAS
2551	FAB. JABONES COMUNES, DETERGENTES, LEJIA
2552	FAB. JABONES TOCADOR Y PTOS. PERFUMERIA
2553	FAB. DERIVADOS DE CERAS Y PARAFINAS
2554	FAB. MATERIAL FOTOGRAFICO SENSIBLE
2555	FAB. ART. PIROTECNICOS, Y FOSFOROS
2559	FAB. OTROS PTOS. QUIMICOS DE CONSUMO
3111	FUNDICION PIEZAS DE HIERRO Y ACERO
3112	FUNDICION PIEZAS METALES NO FERREOS
312	FORJA,ESTAMPADO,EMBUTICION,TROQUELADO
313	TRATAMIENTO Y RECUBRIMIENTO DE METALES
3141	FAB. ART. CARPINTERIA METALICA
3142	FAB. ESTRUCTURAS METALICAS
315	CONSTRUCC. DEPOSITOS Y CALDERERIA
3161	FAB. HERRAMIENTAS MANUALES
3162	FAB. ARTICULOS DE FERRETERIA/CERRAJERIA
3163	TORNILLERIA Y ART. DERIVADOS ALAMBRE
3164	FAB. ART. MENAJE
3165	FAB. COCINAS, CALENTADORES, CALEFACCION
3166	FAB. MOBILIARIO METALICO
3167	FAB. RECIPIENTES Y ENVASES METALICOS
3168	FAB. ARMAS LIGERAS Y SUS MUNICIONES
3169	OTROS ART. ACABADOS EN METALES NCOP
3191	TALLERES DE MECANICA EN GENERAL
3199	TALLERES MECANICOS NCOP
3211	CONSTRUCC. MAQ. AGRICOLAS
3212	CONSTRUCC. TRACTORES AGRICOLAS
3221	CONS. MAQUINAS PARA TRABAJAR METALES
3222	CONST. MAQUINAS TRABAJAR MADERA/CORCHO
3223	FAB.UTILES PARA MAQUINAS HERRAMIENTAS
