011	EXPLOTACION EXTENSIVA GANADO BOVINO
012	EXPLOTAC. INTENSI.GANADO BOVINO DE LECHE
013	EXPLOT.INTENSIVA GANADO BOVINO DE CEBO
021	EXPLOTACION EXTENSIVA DE GANADO OVINO
022	EXPLOT.INTENSIV.GANADO OVINO DE CRIA
023	EXPLOTAC.INTENSIVA GANADO OVINO DE CEBO
024	EXPLOTACION DE GANADO CAPRINO
031	EXPLOTACION EXTENSIVA GANADO PORCINO
032	EXPLOTAC.INTENSIVA GANADO PORCINO CRIA
033	EXPLOTAC. INTENSIVA GANADO PORCINO CEBO
0411	REPRODUCTORAS DE PUESTA
0412	PONEDORAS HUEVOS A PARTIR CUATRO MESES
0421	REPRODUCTORAS DE CARNE
0422	POLLOS Y PATOS PARA CARNE
0423	PAVOS, FAISANES Y PALMIPEDAS_REPRODUCTOR
0424	PAVOS, FAISANES Y PALMIPEDAS PARA CARNE
0425	CODORNICES PARA CARNE
051	CUNICULTURA
061	EXPLOT.GANADO CABALLAR,MULAR Y ASNAL
062	APICULTURA
069	OTRAS EXPLOTACIONES GANADERAS
071	EXPLOTACIONES MIXTAS
