011	DIRECTORES DE CINE Y TEATRO
012	AYUDANTES DE DIRECCION
013	ACTORES DE CINE Y TEATRO
014	EXTRAS ESPECIALISTAS, DOBLES, COMPARSAS
015	OPERADORES CAMARA:CINE,TV.,VIDEO
016	HUMORISTAS,CARICATOS,EXCENTRICOS
017	APUNTADORES Y REGIDORES
018	ARTISTAS CIRCENSES
019	ACTIVIDADES CINE,TEATRO, Y CIRCO NCOP
021	DIRECTORES COREOGRAFICOS
022	BAILARINES
029	OTRAS ACTIV. DEL BAILE NCOP
031	MAESTROS Y DIRECTORES DE MUSICA
032	INTERPRETES DE INSTRUMENTOS MUSICALES
033	CANTANTES
039	OTRAS ACTIV. RELAC. MUSICA NCOP
041	JUGADORES Y ENTRENADORES DE FUTBOL
042	JUGADORES,ENTRENADORES, DE TENIS Y GOLF
043	PILOTOS,ENTRENADORES MOTO Y AUTOCICLISMO
044	BOXEADORES,ENTRENADORES DE BOXEO
045	JUGADORES,ENTRENADORES DE BALONCESTO
046	CORREDORES,ENTRENADORES DE CICLISMO
047	BALONMANO,VOLEIBOL,PELOTA,HIPICA,LUCHA
048	ARBITROS DE ESPECTACULOS DEPORTIVOS
049	OTRAS ACTIV. RELACIONADAS DEPORTE NCOP
051	MATADORES DE TOROS
052	REJONEADORES
053	SUBALTERNOS
054	JEFES DE CUADRILLAS COMICAS Y SIMILARES
055	OTRO PERSONAL CUADRILLAS COMICAS Y SIMIL
059	OTRAS ACTIV. ESPEC.TAURINOS NCOP
